name,country_iso2,ticker,source_item,source
Erie Indemnity,US,ERIE,,DataHub S&P 500 companies
Essex Property Trust,US,ESS,,DataHub S&P 500 companies
Estée Lauder Companies (The),US,EL,,DataHub S&P 500 companies
Everest Group,US,EG,,DataHub S&P 500 companies
Evergy,US,EVRG,,DataHub S&P 500 companies
Eversource Energy,US,ES,,DataHub S&P 500 companies
Exelon,US,EXC,,DataHub S&P 500 companies
Expand Energy,US,EXE,,DataHub S&P 500 companies
Expedia Group,US,EXPE,,DataHub S&P 500 companies
Expeditors International,US,EXPD,,DataHub S&P 500 companies
Extra Space Storage,US,EXR,,DataHub S&P 500 companies
ExxonMobil,US,XOM,,DataHub S&P 500 companies
"F5,Inc.",US,FFIV,,DataHub S&P 500 companies
FactSet,US,FDS,,DataHub S&P 500 companies
Fair Isaac,US,FICO,,DataHub S&P 500 companies
Fastenal,US,FAST,,DataHub S&P 500 companies
Federal Realty Investment Trust,US,FRT,,DataHub S&P 500 companies
FedEx,US,FDX,,DataHub S&P 500 companies
FedEx Freight,US,FDXF,,DataHub S&P 500 companies
Fidelity National Information Services,US,FIS,,DataHub S&P 500 companies
Fifth Third Bancorp,US,FITB,,DataHub S&P 500 companies
First Solar,US,FSLR,,DataHub S&P 500 companies
FirstEnergy,US,FE,,DataHub S&P 500 companies
Fiserv,US,FISV,,DataHub S&P 500 companies
FlexLtd.,US,FLEX,,DataHub S&P 500 companies
Ford MotorCompany,US,F,,DataHub S&P 500 companies
Fortinet,US,FTNT,,DataHub S&P 500 companies
Fortive,US,FTV,,DataHub S&P 500 companies
Fox Corporation (Class A),US,FOXA,,DataHub S&P 500 companies
Fox Corporation (Class B),US,FOX,,DataHub S&P 500 companies
Franklin Resources,US,BEN,,DataHub S&P 500 companies
Freeport-McMoRan,US,FCX,,DataHub S&P 500 companies
Garmin,US,GRMN,,DataHub S&P 500 companies
Gartner,US,IT,,DataHub S&P 500 companies
GE Aerospace,US,GE,,DataHub S&P 500 companies
GE HealthCare,US,GEHC,,DataHub S&P 500 companies
GE Vernova,US,GEV,,DataHub S&P 500 companies
Gen Digital,US,GEN,,DataHub S&P 500 companies
Generac,US,GNRC,,DataHub S&P 500 companies
General Dynamics,US,GD,,DataHub S&P 500 companies
General Mills,US,GIS,,DataHub S&P 500 companies
General Motors,US,GM,,DataHub S&P 500 companies
Genuine PartsCompany,US,GPC,,DataHub S&P 500 companies
Gilead Sciences,US,GILD,,DataHub S&P 500 companies
Global Payments,US,GPN,,DataHub S&P 500 companies
Globe Life,US,GL,,DataHub S&P 500 companies
GoDaddy,US,GDDY,,DataHub S&P 500 companies
Goldman Sachs,US,GS,,DataHub S&P 500 companies
Halliburton,US,HAL,,DataHub S&P 500 companies
Hartford (The),US,HIG,,DataHub S&P 500 companies
Hasbro,US,HAS,,DataHub S&P 500 companies
HCA Healthcare,US,HCA,,DataHub S&P 500 companies
Healthpeak Properties,US,DOC,,DataHub S&P 500 companies
Henry Schein,US,HSIC,,DataHub S&P 500 companies
Hershey Company (The),US,HSY,,DataHub S&P 500 companies
Hewlett Packard Enterprise,US,HPE,,DataHub S&P 500 companies
Hilton Worldwide,US,HLT,,DataHub S&P 500 companies
Home Depot (The),US,HD,,DataHub S&P 500 companies
Honeywell,US,HON,,DataHub S&P 500 companies
Hormel Foods,US,HRL,,DataHub S&P 500 companies
Host Hotels & Resorts,US,HST,,DataHub S&P 500 companies
Howmet Aerospace,US,HWM,,DataHub S&P 500 companies
HPInc.,US,HPQ,,DataHub S&P 500 companies
Hubbell Incorporated,US,HUBB,,DataHub S&P 500 companies
Humana,US,HUM,,DataHub S&P 500 companies
