name,country_iso2,popularity_count,source_item,source
Marie,EG,2,N-EG-1-F-2,sigpwned popular-names-by-country-dataset
Mariam,EG,3,N-EG-1-F-3,sigpwned popular-names-by-country-dataset
Marina,EG,4,N-EG-1-F-4,sigpwned popular-names-by-country-dataset
Irene,EG,5,N-EG-1-F-5,sigpwned popular-names-by-country-dataset
Malak,EG,6,N-EG-1-F-6,sigpwned popular-names-by-country-dataset
Habiba,EG,7,N-EG-1-F-7,sigpwned popular-names-by-country-dataset
Hana,EG,8,N-EG-1-F-8,sigpwned popular-names-by-country-dataset
Farah,EG,9,N-EG-1-F-9,sigpwned popular-names-by-country-dataset
Marwa,EG,10,N-EG-1-F-10,sigpwned popular-names-by-country-dataset
Nada,EG,11,N-EG-1-F-11,sigpwned popular-names-by-country-dataset
Salma,EG,12,N-EG-1-F-12,sigpwned popular-names-by-country-dataset
Shaimaa,EG,1,N-EG-2-F-1,sigpwned popular-names-by-country-dataset
Fatma,EG,2,N-EG-2-F-2,sigpwned popular-names-by-country-dataset
Maha,EG,3,N-EG-2-F-3,sigpwned popular-names-by-country-dataset
Reem,EG,4,N-EG-2-F-4,sigpwned popular-names-by-country-dataset
Farida,EG,5,N-EG-2-F-5,sigpwned popular-names-by-country-dataset
Aya,EG,6,N-EG-2-F-6,sigpwned popular-names-by-country-dataset
Shahd,EG,7,N-EG-2-F-7,sigpwned popular-names-by-country-dataset
Ashraqat,EG,8,N-EG-2-F-8,sigpwned popular-names-by-country-dataset
Sahar,EG,9,N-EG-2-F-9,sigpwned popular-names-by-country-dataset
Fatin,EG,10,N-EG-2-F-10,sigpwned popular-names-by-country-dataset
Dalal,EG,11,N-EG-2-F-11,sigpwned popular-names-by-country-dataset
Doha,EG,12,N-EG-2-F-12,sigpwned popular-names-by-country-dataset
Fajr,EG,13,N-EG-2-F-13,sigpwned popular-names-by-country-dataset
Suha,EG,14,N-EG-2-F-14,sigpwned popular-names-by-country-dataset
Rowan,EG,15,N-EG-2-F-15,sigpwned popular-names-by-country-dataset
Hosniya,EG,16,N-EG-2-F-16,sigpwned popular-names-by-country-dataset
Hasnaa,EG,17,N-EG-2-F-17,sigpwned popular-names-by-country-dataset
Hosna,EG,18,N-EG-2-F-18,sigpwned popular-names-by-country-dataset
Gamila,EG,19,N-EG-2-F-19,sigpwned popular-names-by-country-dataset
Gamalat,EG,20,N-EG-2-F-20,sigpwned popular-names-by-country-dataset
Ane,ES,1,N-ES-1-F-1,sigpwned popular-names-by-country-dataset
Laia,ES,2,N-ES-1-F-2,sigpwned popular-names-by-country-dataset
June,ES,3,N-ES-1-F-3,sigpwned popular-names-by-country-dataset
Nahia,ES,4,N-ES-1-F-4,sigpwned popular-names-by-country-dataset
Maddi,ES,5,N-ES-1-F-5,sigpwned popular-names-by-country-dataset
Malen,ES,6,N-ES-1-F-6,sigpwned popular-names-by-country-dataset
Nora,ES,7,N-ES-1-F-7,sigpwned popular-names-by-country-dataset
Irati,ES,8,N-ES-1-F-8,sigpwned popular-names-by-country-dataset
Izaro,ES,9,N-ES-1-F-9,sigpwned popular-names-by-country-dataset
Sara,ES,10,N-ES-1-F-10,sigpwned popular-names-by-country-dataset
JÚLia,ES,1,N-ES-2-F-1,sigpwned popular-names-by-country-dataset
Martina,ES,2,N-ES-2-F-2,sigpwned popular-names-by-country-dataset
Mia,ES,3,N-ES-2-F-3,sigpwned popular-names-by-country-dataset
Emma,ES,4,N-ES-2-F-4,sigpwned popular-names-by-country-dataset
LucÍA,ES,5,N-ES-2-F-5,sigpwned popular-names-by-country-dataset
SofÍA,ES,6,N-ES-2-F-6,sigpwned popular-names-by-country-dataset
Ona,ES,7,N-ES-2-F-7,sigpwned popular-names-by-country-dataset
MarÍA,ES,8,N-ES-2-F-8,sigpwned popular-names-by-country-dataset
Paula,ES,10,N-ES-2-F-10,sigpwned popular-names-by-country-dataset
Valeria,ES,5,N-ES-3-F-5,sigpwned popular-names-by-country-dataset
Julia,ES,6,N-ES-3-F-6,sigpwned popular-names-by-country-dataset
Daniela,ES,9,N-ES-3-F-9,sigpwned popular-names-by-country-dataset
Carla,ES,10,N-ES-3-F-10,sigpwned popular-names-by-country-dataset
Olivia,FI,1,N-FI-1-F-1,sigpwned popular-names-by-country-dataset
Aino,FI,2,N-FI-1-F-2,sigpwned popular-names-by-country-dataset
Aada,FI,3,N-FI-1-F-3,sigpwned popular-names-by-country-dataset
Lilja,FI,4,N-FI-1-F-4,sigpwned popular-names-by-country-dataset
Eevi,FI,5,N-FI-1-F-5,sigpwned popular-names-by-country-dataset
Isla,FI,6,N-FI-1-F-6,sigpwned popular-names-by-country-dataset
Helmi,FI,7,N-FI-1-F-7,sigpwned popular-names-by-country-dataset
