name,source_item,source
Fish Cutter,,dariusk/corpora occupations
Fish Trimmer,,dariusk/corpora occupations
Fisher,,dariusk/corpora occupations
Fitness Studies Teacher,,dariusk/corpora occupations
Fitness Trainer,,dariusk/corpora occupations
Flight Attendant,,dariusk/corpora occupations
Floor Finisher,,dariusk/corpora occupations
Floor Layer,,dariusk/corpora occupations
Floor Sander,,dariusk/corpora occupations
Floral Designer,,dariusk/corpora occupations
Food Batchmaker,,dariusk/corpora occupations
Food Cooking Machine Operator,,dariusk/corpora occupations
Food Preparation Worker,,dariusk/corpora occupations
Food Science Technician,,dariusk/corpora occupations
Food Scientist,,dariusk/corpora occupations
Food Server,,dariusk/corpora occupations
Food Service Manager,,dariusk/corpora occupations
Food Technologist,,dariusk/corpora occupations
Foreign Language Teacher,,dariusk/corpora occupations
Foreign Literature Teacher,,dariusk/corpora occupations
Forensic Science Technician,,dariusk/corpora occupations
Forest Fire Inspector,,dariusk/corpora occupations
Forest Fire Prevention Specialist,,dariusk/corpora occupations
Forest Worker,,dariusk/corpora occupations
Forester,,dariusk/corpora occupations
Forestry Teacher,,dariusk/corpora occupations
Forging Machine Setter,,dariusk/corpora occupations
Foundry Coremaker,,dariusk/corpora occupations
Freight Agent,,dariusk/corpora occupations
Freight Mover,,dariusk/corpora occupations
Front-End Developer,,dariusk/corpora occupations
Fundraising Manager,,dariusk/corpora occupations
Funeral Attendant,,dariusk/corpora occupations
Funeral Director,,dariusk/corpora occupations
Funeral Service Manager,,dariusk/corpora occupations
Furnace Operator,,dariusk/corpora occupations
Furnishings Worker,,dariusk/corpora occupations
Furniture Finisher,,dariusk/corpora occupations
Gaming Booth Cashier,,dariusk/corpora occupations
Gaming Cage Worker,,dariusk/corpora occupations
Gaming Change Person,,dariusk/corpora occupations
Gaming Dealer,,dariusk/corpora occupations
Gaming Investigator,,dariusk/corpora occupations
Gaming Manager,,dariusk/corpora occupations
Gaming Surveillance Officer,,dariusk/corpora occupations
Garment Mender,,dariusk/corpora occupations
Garment Presser,,dariusk/corpora occupations
Gas Compressor,,dariusk/corpora occupations
Gas Plant Operator,,dariusk/corpora occupations
Gas Pumping Station Operator,,dariusk/corpora occupations
General Manager,,dariusk/corpora occupations
General Practitioner,,dariusk/corpora occupations
Geographer,,dariusk/corpora occupations
Geography Teacher,,dariusk/corpora occupations
Geological Engineer,,dariusk/corpora occupations
Geological Technician,,dariusk/corpora occupations
