name,iso6391,iso6392,source_item,source
Lunda,,lun,,umpirsky/language-list
Luo,,luo,,umpirsky/language-list
Luxembourgish,lb,,,umpirsky/language-list
Luyia,,luy,,umpirsky/language-list
Maba,,mde,,umpirsky/language-list
Macedonian,mk,,,umpirsky/language-list
Machame,,jmc,,umpirsky/language-list
Madurese,,mad,,umpirsky/language-list
Mafa,,maf,,umpirsky/language-list
Magahi,,mag,,umpirsky/language-list
Main-Franconian,,vmf,,umpirsky/language-list
Maithili,,mai,,umpirsky/language-list
Makasar,,mak,,umpirsky/language-list
Makhuwa-Meetto,,mgh,,umpirsky/language-list
Makonde,,kde,,umpirsky/language-list
Malagasy,mg,,,umpirsky/language-list
Malay,ms,,,umpirsky/language-list
Malayalam,ml,,,umpirsky/language-list
Maltese,mt,,,umpirsky/language-list
Manchu,,mnc,,umpirsky/language-list
Mandar,,mdr,,umpirsky/language-list
Mandingo,,man,,umpirsky/language-list
Manipuri,,mni,,umpirsky/language-list
Manx,gv,,,umpirsky/language-list
Maori,mi,,,umpirsky/language-list
Mapuche,,arn,,umpirsky/language-list
Marathi,mr,,,umpirsky/language-list
Mari,,chm,,umpirsky/language-list
Marshallese,mh,,,umpirsky/language-list
Marwari,,mwr,,umpirsky/language-list
Masai,,mas,,umpirsky/language-list
Mazanderani,,mzn,,umpirsky/language-list
Medumba,,byv,,umpirsky/language-list
Mende,,men,,umpirsky/language-list
Mentawai,,mwv,,umpirsky/language-list
Meru,,mer,,umpirsky/language-list
Metaʼ,,mgo,,umpirsky/language-list
Mexican Spanish,,,,umpirsky/language-list
Micmac,,mic,,umpirsky/language-list
Middle Dutch,,dum,,umpirsky/language-list
Middle English,,enm,,umpirsky/language-list
Middle French,,frm,,umpirsky/language-list
Middle High German,,gmh,,umpirsky/language-list
Middle Irish,,mga,,umpirsky/language-list
Min Nan Chinese,,nan,,umpirsky/language-list
Minangkabau,,min,,umpirsky/language-list
Mingrelian,,xmf,,umpirsky/language-list
Mirandese,,mwl,,umpirsky/language-list
Mizo,,lus,,umpirsky/language-list
Modern Standard Arabic,,,,umpirsky/language-list
Mohawk,,moh,,umpirsky/language-list
Moksha,,mdf,,umpirsky/language-list
Moldavian,,,,umpirsky/language-list
Mongo,,lol,,umpirsky/language-list
Mongolian,mn,,,umpirsky/language-list
Morisyen,,mfe,,umpirsky/language-list
Moroccan Arabic,,ary,,umpirsky/language-list
Mossi,,mos,,umpirsky/language-list
Multiple Languages,,mul,,umpirsky/language-list
Mundang,,mua,,umpirsky/language-list
Muslim Tat,,ttt,,umpirsky/language-list
Myene,,mye,,umpirsky/language-list
Nama,,naq,,umpirsky/language-list
Nauru,na,,,umpirsky/language-list
Navajo,nv,,,umpirsky/language-list
Ndonga,ng,,,umpirsky/language-list
Neapolitan,,nap,,umpirsky/language-list
Nepali,ne,,,umpirsky/language-list
Newari,,new,,umpirsky/language-list
Ngambay,,sba,,umpirsky/language-list
Ngiemboon,,nnh,,umpirsky/language-list
Ngomba,,jgo,,umpirsky/language-list
Nheengatu,,yrl,,umpirsky/language-list
Nias,,nia,,umpirsky/language-list
Niuean,,niu,,umpirsky/language-list
No Linguistic Content,,zxx,,umpirsky/language-list
Nogai,,nog,,umpirsky/language-list
North Ndebele,nd,,,umpirsky/language-list
Northern Frisian,,frr,,umpirsky/language-list
Northern Sami,se,,,umpirsky/language-list
Northern Sotho,,nso,,umpirsky/language-list
Norwegian,no,,,umpirsky/language-list
Norwegian BokmÅL,nb,,,umpirsky/language-list
Norwegian Nynorsk,nn,,,umpirsky/language-list
Novial,,nov,,umpirsky/language-list
Nuer,,nus,,umpirsky/language-list
Nyamwezi,,nym,,umpirsky/language-list
Nyanja,ny,,,umpirsky/language-list
Nyankole,,nyn,,umpirsky/language-list
Nyasa Tonga,,tog,,umpirsky/language-list
Nyoro,,nyo,,umpirsky/language-list
Nzima,,nzi,,umpirsky/language-list
NʼKo,,nqo,,umpirsky/language-list
Occitan,oc,,,umpirsky/language-list
Ojibwa,oj,,,umpirsky/language-list
Old English,,ang,,umpirsky/language-list
Old French,,fro,,umpirsky/language-list
Old High German,,goh,,umpirsky/language-list
Old Irish,,sga,,umpirsky/language-list
Old Norse,,non,,umpirsky/language-list
Old Persian,,peo,,umpirsky/language-list
Old ProvenÇAl,,pro,,umpirsky/language-list
Oriya,or,,,umpirsky/language-list
Oromo,om,,,umpirsky/language-list
Osage,,osa,,umpirsky/language-list
Ossetic,os,,,umpirsky/language-list
Ottoman Turkish,,ota,,umpirsky/language-list
Pahlavi,,pal,,umpirsky/language-list
Palatine German,,pfl,,umpirsky/language-list
Palauan,,pau,,umpirsky/language-list
Pali,pi,,,umpirsky/language-list
Pampanga,,pam,,umpirsky/language-list
Pangasinan,,pag,,umpirsky/language-list
Papiamento,,pap,,umpirsky/language-list
Pashto,ps,,,umpirsky/language-list
Pennsylvania German,,pdc,,umpirsky/language-list
Persian,fa,,,umpirsky/language-list
Phoenician,,phn,,umpirsky/language-list
Picard,,pcd,,umpirsky/language-list
Piedmontese,,pms,,umpirsky/language-list
Plautdietsch,,pdt,,umpirsky/language-list
Pohnpeian,,pon,,umpirsky/language-list
Polish,pl,,,umpirsky/language-list
Pontic,,pnt,,umpirsky/language-list
Portuguese,pt,,,umpirsky/language-list
Prussian,,prg,,umpirsky/language-list
Punjabi,pa,,,umpirsky/language-list
Quechua,qu,,,umpirsky/language-list
Rajasthani,,raj,,umpirsky/language-list
Rapanui,,rap,,umpirsky/language-list
Rarotongan,,rar,,umpirsky/language-list
Riffian,,rif,,umpirsky/language-list
Romagnol,,rgn,,umpirsky/language-list
Romanian,ro,,,umpirsky/language-list
Romansh,rm,,,umpirsky/language-list
Romany,,rom,,umpirsky/language-list
Rombo,,rof,,umpirsky/language-list
Root,,,,umpirsky/language-list
Rotuman,,rtm,,umpirsky/language-list
Roviana,,rug,,umpirsky/language-list
Rundi,rn,,,umpirsky/language-list
Russian,ru,,,umpirsky/language-list
Rusyn,,rue,,umpirsky/language-list
Rwa,,rwk,,umpirsky/language-list
Saho,,ssy,,umpirsky/language-list
Sakha,,sah,,umpirsky/language-list
Samaritan Aramaic,,sam,,umpirsky/language-list
Samburu,,saq,,umpirsky/language-list
Samoan,sm,,,umpirsky/language-list
Samogitian,,sgs,,umpirsky/language-list
Sandawe,,sad,,umpirsky/language-list
Sango,sg,,,umpirsky/language-list
Sangu,,sbp,,umpirsky/language-list
Sanskrit,sa,,,umpirsky/language-list
Santali,,sat,,umpirsky/language-list
Sardinian,sc,,,umpirsky/language-list
Sasak,,sas,,umpirsky/language-list
Sassarese Sardinian,,sdc,,umpirsky/language-list
Saterland Frisian,,stq,,umpirsky/language-list
Saurashtra,,saz,,umpirsky/language-list
Scots,,sco,,umpirsky/language-list
Scottish Gaelic,gd,,,umpirsky/language-list
Selayar,,sly,,umpirsky/language-list
Selkup,,sel,,umpirsky/language-list
Sena,,seh,,umpirsky/language-list
Seneca,,see,,umpirsky/language-list
Serbian,sr,,,umpirsky/language-list
Serbo-Croatian,sh,,,umpirsky/language-list
Serer,,srr,,umpirsky/language-list
Seri,,sei,,umpirsky/language-list
Shambala,,ksb,,umpirsky/language-list
Shan,,shn,,umpirsky/language-list
Shona,sn,,,umpirsky/language-list
